# CaO-SrO Pseudobinary Diagram (PARROT Optimized)
# column x: X(SR)   column y: T
# boundary = number of the continuous line
# phases: E = appears or disappears / F0 = fixed at zero amount
# CALCULATED = boundary obtained by common tangent (not exported from the MAP)
boundary,phases,X(SR),T
9,E:LIQUID + F0:HALITE#1,0.49942994076,2871.6028066
9,E:LIQUID + F0:HALITE#1,0.49973046677,2870.9475605
9,E:LIQUID + F0:HALITE#1,0.49978510787,2870.828333
9,E:LIQUID + F0:HALITE#1,0.49989439006,2870.5897932
9,E:LIQUID + F0:HALITE#1,0.49991425956,2870.5464102
9,E:LIQUID + F0:HALITE#1,0.49995399854,2870.4596331
9,E:LIQUID + F0:HALITE#1,0.49996122381,2870.4438538
9,E:LIQUID + F0:HALITE#1,0.49997567435,2870.4122937
9,E:LIQUID + F0:HALITE#1,0.49997830172,2870.4065553
9,E:LIQUID + F0:HALITE#1,0.49998355647,2870.3950784
9,E:LIQUID + F0:HALITE#1,0.49999406595,2870.3721236
9,E:LIQUID + F0:HALITE#1,0.49999597677,2870.3679499
9,E:LIQUID + F0:HALITE#1,0.4999997984,2870.3596023
9,E:LIQUID + F0:HALITE#1,0.4999997984,2870.3596023
10,E:LIQUID + F0:HALITE#1,0.17,3194.3209052
10,E:LIQUID + F0:HALITE#1,0.169975,3194.3294793
10,E:LIQUID + F0:HALITE#1,0.145,3202.325744
10,E:LIQUID + F0:HALITE#1,0.1325,3205.8961322
10,E:LIQUID + F0:HALITE#1,0.12,3209.1690508
10,E:LIQUID + F0:HALITE#1,0.1075,3212.1327076
10,E:LIQUID + F0:HALITE#1,0.0825,3217.0682564
10,E:LIQUID + F0:HALITE#1,0.07,3219.0007579
10,E:LIQUID + F0:HALITE#1,0.045,3221.6787332
10,E:LIQUID + F0:HALITE#1,0.0325,3222.2974995
10,E:LIQUID + F0:HALITE#1,0.02,3222.5229903
10,E:LIQUID + F0:HALITE#1,0.0075,3222.2557898
10,E:LIQUID + F0:HALITE#1,0.006931818125,3222.2315323
10,E:LIQUID + F0:HALITE#1,0.005795454375,3222.1798039
10,E:LIQUID + F0:HALITE#1,0.003522726875,3222.0634404
10,E:LIQUID + F0:HALITE#1,0.0033161152634,3222.0520054
10,E:LIQUID + F0:HALITE#1,0.0029028920403,3222.0287062
10,E:LIQUID + F0:HALITE#1,0.0028277605377,3222.0244084
10,E:LIQUID + F0:HALITE#1,0.0026774975324,3222.015756
10,E:LIQUID + F0:HALITE#1,0.0026501769833,3222.0141747
10,E:LIQUID + F0:HALITE#1,0.002595535885,3222.0110045
10,E:LIQUID + F0:HALITE#1,0.0024862536884,3222.0046342
10,E:LIQUID + F0:HALITE#1,0.0024663841961,3222.0034716
10,E:LIQUID + F0:HALITE#1,0.0024266452116,3222.0011425
10,E:LIQUID + F0:HALITE#1,0.0024194199409,3222.0007185
10,E:LIQUID + F0:HALITE#1,0.0024049693997,3221.9998699
10,E:LIQUID + F0:HALITE#1,0.0023760683171,3221.9981705
10,E:LIQUID + F0:HALITE#1,0.0023755906132,3221.9981424
10,E:LIQUID + F0:HALITE#1,0.0023746352053,3221.9980862
10,E:LIQUID + F0:HALITE#1,0.0023727243895,3221.9979737
10,E:LIQUID + F0:HALITE#1,0.002368902758,3221.9977488
10,E:LIQUID + F0:HALITE#1,0.0023682079159,3221.9977079
10,E:LIQUID + F0:HALITE#1,0.0023668182315,3221.9976261
10,E:LIQUID + F0:HALITE#1,0.0023665655616,3221.9976112
10,E:LIQUID + F0:HALITE#1,0.0023660602218,3221.9975814
10,E:LIQUID + F0:HALITE#1,0.0023659683418,3221.997576
10,E:LIQUID + F0:HALITE#1,0.0023657845819,3221.9975652
10,E:LIQUID + F0:HALITE#1,0.002365751171,3221.9975632
10,E:LIQUID + F0:HALITE#1,0.0023656843492,3221.9975593
10,E:LIQUID + F0:HALITE#1,0.0023656843492,3221.9975593
11,E:LIQUID + F0:HALITE#1,0.17,3194.3209052
11,E:LIQUID + F0:HALITE#1,0.170025,3194.3123298
11,E:LIQUID + F0:HALITE#1,0.195,3185.1700697
11,E:LIQUID + F0:HALITE#1,0.2075,3180.1505418
11,E:LIQUID + F0:HALITE#1,0.22,3174.8177895
11,E:LIQUID + F0:HALITE#1,0.2325,3169.1526395
11,E:LIQUID + F0:HALITE#1,0.245,3163.1306104
11,E:LIQUID + F0:HALITE#1,0.2575,3156.7216943
11,E:LIQUID + F0:HALITE#1,0.2825,3142.5942307
11,E:LIQUID + F0:HALITE#1,0.295,3134.7861058
11,E:LIQUID + F0:HALITE#1,0.32,3117.409999
11,E:LIQUID + F0:HALITE#1,0.3325,3107.7142817
11,E:LIQUID + F0:HALITE#1,0.345,3097.2509436
11,E:LIQUID + F0:HALITE#1,0.37,3073.6976677
11,E:LIQUID + F0:HALITE#1,0.3825,3060.4330433
11,E:LIQUID + F0:HALITE#1,0.395,3046.0538458
11,E:LIQUID + F0:HALITE#1,0.4075,3030.4663958
11,E:LIQUID + F0:HALITE#1,0.42,3013.5789464
11,E:LIQUID + F0:HALITE#1,0.4325,2995.3054607
11,E:LIQUID + F0:HALITE#1,0.445,2975.5702542
11,E:LIQUID + F0:HALITE#1,0.4575,2954.3133236
11,E:LIQUID + F0:HALITE#1,0.47,2931.4959563
11,E:LIQUID + F0:HALITE#1,0.47625,2919.4971422
11,E:LIQUID + F0:HALITE#1,0.4825,2907.1059665
11,E:LIQUID + F0:HALITE#1,0.48875,2894.3257153
11,E:LIQUID + F0:HALITE#1,0.48988636375,2891.960616
11,E:LIQUID + F0:HALITE#1,0.49215909125,2887.1925047
11,E:LIQUID + F0:HALITE#1,0.49670454625,2877.5058781
11,E:LIQUID + F0:HALITE#1,0.4975309927,2875.7233158
11,E:LIQUID + F0:HALITE#1,0.49918388559,2872.1386514
11,E:LIQUID + F0:HALITE#1,0.4994844116,2871.4841056
11,E:LIQUID + F0:HALITE#1,0.4995390527,2871.3650054
11,E:LIQUID + F0:HALITE#1,0.49964833489,2871.12672
11,E:LIQUID + F0:HALITE#1,0.49986689929,2870.6498104
11,E:LIQUID + F0:HALITE#1,0.49990663827,2870.563051
11,E:LIQUID + F0:HALITE#1,0.49998611624,2870.3894874
11,E:LIQUID + F0:HALITE#1,0.49998742993,2870.3866181
11,E:LIQUID + F0:HALITE#1,0.4999900573,2870.3808794
11,E:LIQUID + F0:HALITE#1,0.49999531204,2870.3694018
11,E:LIQUID + F0:HALITE#1,0.49999626745,2870.3673149
11,E:LIQUID + F0:HALITE#1,0.49999817826,2870.3631412
11,E:LIQUID + F0:HALITE#1,0.49999852569,2870.3623823
11,E:LIQUID + F0:HALITE#1,0.49999922053,2870.3608646
11,E:LIQUID + F0:HALITE#1,0.49999934686,2870.3605886
